,Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),Slump(mm),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
191,,,28,31.5,5.8,3.1,0.44,0.44,185.0,36.0,40.0,36.2,2.75
192,,,28,31.5,5.8,3.1,0.46,0.46,185.0,36.0,43.0,34.2,2.6
193,,,28,31.5,5.8,3.1,0.42,0.42,185.0,32.0,25.0,35.9,2.42
194,,,28,31.5,5.8,3.1,0.42,0.42,185.0,40.0,40.0,37.3,3.24
195,,,28,,,,0.45,0.45,180.0,39.0,205.0,47.4,4.98
196,,,28,,,,0.5,0.5,180.0,39.0,205.0,45.3,4.68
197,,,28,,,,0.55,0.55,180.0,40.0,200.0,41.7,4.5
198,,,28,,4.3,2.86,,,,,,35.8,1.63
199,,,28,,7.5,3.04,,,,,,36.5,1.77
200,,,28,,10.8,2.76,,,,,,37.8,1.84
201,,,28,,19.2,2.35,,,,,,34.3,1.72
202,35.5,7.2,28,30.0,14.2,2.2,0.57,0.57,178.0,35.0,20.0,27.9,1.97
203,35.5,7.2,28,30.0,14.2,2.2,0.64,0.64,178.0,35.0,20.0,24.7,2.05
204,35.5,7.2,28,30.0,14.2,2.2,0.69,0.69,178.0,35.0,20.0,22.8,2.11
205,,,28,20.0,13.0,3.55,0.59,0.59,203.0,40.0,70.0,43.1,2.65
206,,,28,20.0,7.8,3.55,0.63,0.63,241.0,40.0,140.0,38.9,2.18
207,,,28,20.0,16.3,3.55,0.56,0.56,185.0,39.0,100.0,39.0,2.87
208,,,28,20.0,11.3,3.55,0.47,0.47,196.0,43.0,60.0,49.0,2.19
209,63.4,10.2,28,16.0,3.0,3.5,0.25,0.48,150.0,37.0,240.0,94.3,6.2
210,63.4,10.2,28,16.0,5.0,3.5,0.25,0.48,150.0,37.0,225.0,94.6,6.4
211,63.4,10.2,28,16.0,7.0,3.5,0.25,0.48,150.0,37.0,220.0,96.3,5.4
212,63.4,10.2,28,16.0,10.0,3.5,0.25,0.48,150.0,37.0,180.0,91.0,5.6
213,55.6,8.91,1,20.0,19.4,2.8,0.28,0.4,180.0,45.0,,4.23,0.6
214,55.6,8.91,3,20.0,19.4,2.8,0.28,0.4,180.0,45.0,,14.9,1.35
215,55.6,8.91,7,20.0,19.4,2.8,0.28,0.4,180.0,45.0,,28.3,2.24
216,55.6,8.91,14,20.0,19.4,2.8,0.28,0.4,180.0,45.0,,40.9,3.01
217,55.6,8.91,28,20.0,19.4,2.8,0.28,0.4,180.0,45.0,,50.8,3.64
218,55.6,8.91,60,20.0,19.4,2.8,0.28,0.4,180.0,45.0,,59.5,4.32
219,55.6,8.91,90,20.0,19.4,2.8,0.28,0.4,180.0,45.0,,65.4,4.43
220,,,28,40.0,7.1,,0.45,0.56,109.0,36.0,85.0,24.8,1.98
221,,,28,40.0,9.1,,0.45,0.56,111.0,36.0,86.0,28.1,2.23
222,,,28,40.0,11.2,,0.45,0.56,113.0,36.0,83.0,29.8,2.41
223,,,28,40.0,13.3,,0.45,0.56,116.0,36.0,85.0,31.5,2.47
224,,,28,40.0,15.5,,0.45,0.56,119.0,36.0,90.0,34.0,2.65
225,,,28,40.0,17.8,,0.45,0.56,122.0,36.0,88.0,33.2,2.68
226,,,28,40.0,20.0,,0.45,0.56,124.0,36.0,87.0,32.8,2.54
227,,,28,40.0,22.1,,0.45,0.56,126.0,36.0,85.0,31.6,2.37
228,,,28,40.0,7.1,,0.45,0.56,129.0,42.0,171.0,24.1,2.01
229,,,28,40.0,9.1,,0.45,0.56,131.0,42.0,177.0,27.5,2.36
230,,,28,40.0,11.2,,0.45,0.56,133.0,42.0,182.0,29.0,2.37
231,,,28,40.0,13.3,,0.45,0.56,136.0,42.0,176.0,30.9,2.41
232,,,28,40.0,15.5,,0.45,0.56,139.0,42.0,175.0,33.7,2.47
233,,,28,40.0,17.8,,0.45,0.56,142.0,42.0,179.0,32.4,2.56
234,,,28,40.0,20.0,,0.45,0.56,144.0,42.0,180.0,31.2,2.52
235,,,28,40.0,22.1,,0.45,0.56,146.0,42.0,173.0,30.9,2.41
236,,,7,40.0,6.0,,0.36,0.48,126.0,35.0,50.0,24.6,1.95
237,,,7,40.0,9.0,,0.36,0.48,128.0,34.0,45.0,25.3,2.25
238,,,7,40.0,12.0,,0.36,0.48,130.0,34.0,60.0,25.0,2.09
239,,,7,40.0,15.0,,0.36,0.48,131.0,33.0,55.0,24.8,1.97
240,,,7,40.0,18.0,,0.36,0.48,135.0,33.0,60.0,26.1,2.29
241,,,28,40.0,6.0,,0.36,0.48,126.0,35.0,50.0,40.1,3.13
242,,,28,40.0,9.0,,0.36,0.48,128.0,34.0,45.0,41.8,2.88
243,,,28,40.0,12.0,,0.36,0.48,130.0,34.0,60.0,41.4,3.03
244,,,28,40.0,15.0,,0.36,0.48,131.0,33.0,55.0,41.3,3.21
245,,,28,40.0,18.0,,0.36,0.48,135.0,33.0,60.0,41.1,3.07
246,,,90,40.0,6.0,,0.36,0.48,126.0,35.0,50.0,55.1,3.82
247,,,90,40.0,9.0,,0.36,0.48,128.0,34.0,45.0,56.1,3.9
248,,,90,40.0,12.0,,0.36,0.48,130.0,34.0,60.0,51.0,3.79
249,,,90,40.0,15.0,,0.36,0.48,131.0,33.0,55.0,51.5,3.77
250,,,90,40.0,18.0,,0.36,0.48,135.0,33.0,60.0,53.2,4.12
251,,,180,40.0,6.0,,0.36,0.48,126.0,35.0,50.0,54.8,3.97
252,,,180,40.0,9.0,,0.36,0.48,128.0,34.0,45.0,61.6,4.45
253,,,180,40.0,12.0,,0.36,0.48,130.0,34.0,60.0,54.6,4.51
254,,,180,40.0,15.0,,0.36,0.48,131.0,33.0,55.0,54.8,4.02
255,,,180,40.0,18.0,,0.36,0.48,135.0,33.0,60.0,58.8,4.5
256,52.5,8.8,3,20.0,5.4,3.11,0.37,0.44,166.0,44.0,185.0,19.0,1.6
257,52.5,8.8,7,20.0,5.4,3.11,0.37,0.44,166.0,44.0,185.0,31.5,2.4
258,52.5,8.8,28,20.0,5.4,3.11,0.37,0.44,166.0,44.0,185.0,45.8,2.6
259,52.5,8.8,56,20.0,5.4,3.11,0.37,0.44,166.0,44.0,185.0,53.0,3.6
260,52.5,8.8,3,20.0,5.4,3.11,0.34,0.34,158.0,42.0,105.0,48.2,3.6
261,52.5,8.8,7,20.0,5.4,3.11,0.34,0.34,158.0,42.0,105.0,56.6,3.8
262,52.5,8.8,28,20.0,5.4,3.11,0.34,0.34,158.0,42.0,105.0,69.1,4.0
263,52.5,8.8,56,20.0,5.4,3.11,0.34,0.34,158.0,42.0,105.0,69.4,4.4
