Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
48.3,7.4,28.0,25.0,7.5,2.9,0.51,1.01,222.0,45.0,57.0,2.87
48.3,8.059999999999999,28.0,30.0,4.3,3.0,0.25,0.33,150.0,41.0,74.4,5.41
43.7,7.5,60.0,30.0,4.3,3.0,0.25,0.33,150.0,41.0,84.5,6.37
43.7,7.5,90.0,30.0,4.3,3.0,0.25,0.33,150.0,41.0,94.1,6.5
43.7,7.5,120.0,30.0,4.3,3.0,0.25,0.33,150.0,41.0,100.5,6.65
52.7,9.0,28.0,31.5,5.8,3.1,0.42,0.42,185.0,36.0,38.3,3.04
52.7,9.0,28.0,31.5,5.8,3.1,0.44,0.44,185.0,36.0,36.2,2.75
52.7,9.0,28.0,31.5,5.8,3.1,0.46,0.46,185.0,36.0,34.2,2.6
52.7,9.0,28.0,31.5,5.8,3.1,0.42,0.42,185.0,32.0,35.9,2.42
51.120000000000005,8.78,28.0,31.5,5.8,3.1,0.42,0.42,185.0,40.0,37.3,3.24
50.14,8.442,28.0,26.6,9.44,2.976,0.45,0.45,180.0,39.0,47.4,4.98
46.8,8.0,28.0,31.5,9.8,3.0839999999999996,0.5,0.5,180.0,39.0,45.3,4.68
49.11999999999999,8.559999999999999,28.0,28.9,10.4,3.1159999999999997,0.55,0.55,180.0,40.0,41.7,4.5
51.06,8.6,28.0,27.6,4.3,2.86,0.49400000000000005,0.49400000000000005,182.0,39.2,35.8,1.63
52.67999999999999,9.08,28.0,30.2,7.5,3.04,0.454,0.454,184.0,35.6,36.5,1.77
50.52,8.459999999999999,28.0,39.3,10.8,2.76,0.522,0.522,178.0,38.2,37.8,1.84
47.408,8.44,28.0,48.7,19.2,2.35,0.44000000000000006,0.518,149.95,42.2,34.3,1.72
35.5,7.2,28.0,30.0,14.2,2.2,0.57,0.57,178.0,35.0,27.9,1.97
35.5,7.2,28.0,30.0,14.2,2.2,0.64,0.64,178.0,35.0,24.7,2.05
35.5,7.2,28.0,30.0,14.2,2.2,0.69,0.69,178.0,35.0,22.8,2.11
38.2,6.9,28.0,20.0,13.0,3.55,0.59,0.59,203.0,40.0,43.1,2.65
48.279999999999994,7.9799999999999995,28.0,20.0,7.8,3.55,0.63,0.63,241.0,40.0,38.9,2.18
43.96,7.9,28.0,20.0,16.3,3.55,0.56,0.56,185.0,39.0,39.0,2.87
38.2,6.9,28.0,20.0,11.3,3.55,0.47,0.47,196.0,43.0,49.0,2.19
63.4,10.2,28.0,16.0,3.0,3.5,0.25,0.48,150.0,37.0,94.3,6.2
63.4,10.2,28.0,16.0,5.0,3.5,0.25,0.48,150.0,37.0,94.6,6.4
63.4,10.2,28.0,16.0,7.0,3.5,0.25,0.48,150.0,37.0,96.3,5.4
63.4,10.2,28.0,16.0,10.0,3.5,0.25,0.48,150.0,37.0,91.0,5.6
55.6,8.91,1.0,20.0,19.4,2.8,0.28,0.4,180.0,45.0,4.23,0.6
55.6,8.91,3.0,20.0,19.4,2.8,0.28,0.4,180.0,45.0,14.9,1.35
55.6,8.91,7.0,20.0,19.4,2.8,0.28,0.4,180.0,45.0,28.3,2.24
55.6,8.91,14.0,20.0,19.4,2.8,0.28,0.4,180.0,45.0,40.9,3.01
55.6,8.91,28.0,20.0,19.4,2.8,0.28,0.4,180.0,45.0,50.8,3.64
55.6,8.91,60.0,20.0,19.4,2.8,0.28,0.4,180.0,45.0,59.5,4.32
55.6,8.91,90.0,20.0,19.4,2.8,0.28,0.4,180.0,45.0,65.4,4.43
62.4,8.4,28.0,40.0,7.1,2.6639999999999997,0.45,0.56,109.0,36.0,24.8,1.98
62.4,8.4,28.0,40.0,9.1,2.6879999999999997,0.45,0.56,111.0,36.0,28.1,2.23
62.4,8.4,28.0,40.0,11.2,2.748,0.45,0.56,113.0,36.0,29.8,2.41
62.4,8.4,28.0,40.0,13.3,2.7299999999999995,0.45,0.56,116.0,36.0,31.5,2.47
62.4,8.4,28.0,40.0,15.5,2.73,0.45,0.56,119.0,36.0,34.0,2.65
62.4,8.4,28.0,40.0,17.8,2.782,0.45,0.56,122.0,36.0,33.2,2.68
59.56,8.4,28.0,40.0,20.0,2.782,0.45,0.56,124.0,36.0,32.8,2.54
56.71999999999999,8.4,28.0,40.0,22.1,2.782,0.45,0.56,126.0,36.0,31.6,2.37
59.56,8.4,28.0,40.0,7.1,2.832,0.45,0.56,129.0,42.0,24.1,2.01
56.71999999999999,8.4,28.0,40.0,9.1,2.832,0.45,0.56,131.0,42.0,27.5,2.36
53.88000000000001,8.4,28.0,40.0,11.2,2.7299999999999995,0.45,0.56,133.0,42.0,29.0,2.37
46.92,8.22,28.0,40.0,13.3,2.7299999999999995,0.45,0.56,136.0,42.0,30.9,2.41
46.92,8.22,28.0,40.0,15.5,2.73,0.45,0.56,139.0,42.0,33.7,2.47
47.7,8.42,28.0,40.0,17.8,2.782,0.45,0.56,142.0,42.0,32.4,2.56
47.96,8.440000000000001,28.0,40.0,20.0,2.782,0.45,0.56,144.0,42.0,31.2,2.52
47.96,8.440000000000001,28.0,40.0,22.1,2.782,0.45,0.56,146.0,42.0,30.9,2.41
62.4,8.4,7.0,40.0,6.0,2.568,0.36,0.48,126.0,35.0,24.6,1.95
62.4,8.4,7.0,40.0,9.0,2.6599999999999997,0.36,0.48,128.0,34.0,25.3,2.25
54.92,8.040000000000001,7.0,40.0,12.0,2.7359999999999998,0.36,0.48,130.0,34.0,25.0,2.09
54.919999999999995,8.040000000000001,7.0,40.0,15.0,2.868,0.36,0.48,131.0,33.0,24.8,1.97
43.7,7.5,7.0,40.0,18.0,3.0,0.36,0.48,135.0,33.0,26.1,2.29
59.519999999999996,8.6,28.0,40.0,6.0,2.782,0.36,0.48,126.0,35.0,40.1,3.13
53.839999999999996,8.6,28.0,40.0,9.0,2.782,0.36,0.48,128.0,34.0,41.8,2.88
51.0,8.6,28.0,40.0,12.0,2.782,0.36,0.48,130.0,34.0,41.4,3.03
51.0,8.6,28.0,40.0,15.0,2.782,0.36,0.48,131.0,33.0,41.3,3.21
46.4,8.040000000000001,28.0,40.0,18.0,2.8699999999999997,0.36,0.48,135.0,33.0,41.1,3.07
54.919999999999995,8.040000000000001,90.0,40.0,6.0,2.632,0.36,0.48,126.0,35.0,55.1,3.82
51.18000000000001,7.859999999999999,90.0,40.0,9.0,2.668,0.36,0.48,128.0,34.0,56.1,3.9
54.919999999999995,8.040000000000001,90.0,40.0,12.0,2.632,0.36,0.48,130.0,34.0,51.0,3.79
54.919999999999995,8.040000000000001,90.0,40.0,15.0,2.632,0.36,0.48,131.0,33.0,51.5,3.77
43.7,7.5,90.0,40.0,18.0,2.8080000000000003,0.36,0.48,135.0,33.0,53.2,4.12
43.7,7.5,180.0,40.0,6.0,2.9400000000000004,0.36,0.48,126.0,35.0,54.8,3.97
43.7,7.5,180.0,40.0,9.0,2.94,0.36,0.48,128.0,34.0,61.6,4.45
43.7,7.5,180.0,40.0,12.0,2.94,0.36,0.48,130.0,34.0,54.6,4.51
43.7,7.5,180.0,40.0,15.0,2.9400000000000004,0.36,0.48,131.0,33.0,54.8,4.02
43.7,7.5,180.0,40.0,18.0,2.94,0.36,0.48,135.0,33.0,58.8,4.5
52.5,8.8,3.0,20.0,5.4,3.11,0.37,0.44,166.0,44.0,19.0,1.6
52.5,8.8,7.0,20.0,5.4,3.11,0.37,0.44,166.0,44.0,31.5,2.4
52.5,8.8,28.0,20.0,5.4,3.11,0.37,0.44,166.0,44.0,45.8,2.6
52.5,8.8,56.0,20.0,5.4,3.11,0.37,0.44,166.0,44.0,53.0,3.6
52.5,8.8,3.0,20.0,5.4,3.11,0.34,0.34,158.0,42.0,48.2,3.6
52.5,8.8,7.0,20.0,5.4,3.11,0.34,0.34,158.0,42.0,56.6,3.8
52.5,8.8,28.0,20.0,5.4,3.11,0.34,0.34,158.0,42.0,69.1,4.0
52.5,8.8,56.0,20.0,5.4,3.11,0.34,0.34,158.0,42.0,69.4,4.4
52.7,9.0,3.0,31.5,6.6,2.94,0.42,0.42,185.0,36.0,23.4,2.03
52.7,9.0,28.0,31.5,6.6,2.94,0.42,0.42,185.0,36.0,35.6,3.04
52.7,9.0,3.0,31.5,6.6,2.94,0.44,0.44,185.0,36.0,23.7,1.93
52.7,9.0,28.0,31.5,6.6,2.94,0.44,0.44,185.0,36.0,32.2,2.74
52.7,9.0,3.0,31.5,6.6,2.94,0.46,0.46,185.0,36.0,22.5,2.09
52.7,9.0,28.0,31.5,6.6,2.94,0.46,0.46,185.0,36.0,34.2,2.59
52.7,9.0,3.0,31.5,6.6,2.94,0.42,0.42,185.0,32.0,23.6,1.69
